vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16b98b000     26.49s          7510            RuyLopezOpen.pgn
0x16b98b000     13.74s          3939            Shirov.pgn
0x16b98b000     0.95s           241             Winawer.pgn
0x16b98b000     6.35s           1796            Lautier.pgn
0x16ba17000     56.65s          16992           PetroffOther3.pgn
0x16b98b000     11.95s          3475            NimzoLeningrad.pgn
0x16b98b000     6.08s           1874            Gulko.pgn
0x16b98b000     6.44s           1580            Yu.pgn
0x16b98b000     2.37s           690             Bruzon.pgn
0x16b98b000     4.62s           1290            Tartakower.pgn
0x16b98b000     24.39s          6793            AlekhineExchange.pgn
0x16b98b000     2.64s           704             Tarrasch.pgn
0x16b98b000     0.41s           113             Horwitz.pgn
0x16b98b000     8.70s           2630            Alekhine4Pawns.pgn
0x16b98b000     17.08s          4705            CzechBenoni.pgn
0x16b98b000     47.17s          13344           EnglishSicRev4Knights.pgn
0x16ba17000     127.16s         35184           KIDOther7.pgn
0x16b98b000     9.62s           2386            Kamsky.pgn
0x16ba17000     10.19s          2959            RuyLopezMarshall.pgn
0x16b98b000     17.77s          5256            QG-Chigorin.pgn
0x16b98b000     10.75s          3001            Kramnik.pgn
0x16b98b000     4.71s           1324            Azmaiparashvili.pgn
0x16ba17000     30.12s          8776            EnglishSym3d4.pgn
0x16b98b000     31.66s          8830            Bogo4Nbd2.pgn
0x16b98b000     1.87s           512             Nimzowitsch.pgn
0x16b98b000     45.39s          12799           FrTarraschOther3.pgn
0x16ba17000     129.15s         36250           SicilianTaimanovMain.pgn
0x16b98b000     77.91s          21706           SicilianNajdorf6Be3.pgn
0x16ba17000     30.49s          8593            Sic2Nc6-4Qc7-4Qb6.pgn
0x16b98b000     6.52s           2000            Nisipeanu.pgn
0x16ba17000     8.69s           2189            Harikrishna.pgn
0x16b98b000     9.86s           3132            Hort.pgn
0x16ba17000     48.47s          13810           English1e6Main.pgn
0x16b98b000     72.11s          20411           SicilianAlapin2Nf6.pgn
0x16b98b000     7.11s           2198            Geller.pgn
0x16b98b000     7.48s           2013            Wojtaszek.pgn
0x16b98b000     9.78s           2582            Navara.pgn
0x16ba17000     52.50s          15364           PircOtherWhite4.pgn
0x16ba17000     5.65s           1543            Ni.pgn
0x16b98b000     13.16s          3179            Nakamura.pgn
0x16b98b000     2.87s           797             Rubinstein.pgn
0x16ba17000     63.19s          16975           English1Nf6-2Nc3.pgn
0x16b98b000     55.98s          14874           SlavMain.pgn
0x16b98b000     5.94s           1697            DeFirmian.pgn
0x16b98b000     114.78s         32439           QGDOther34.pgn
0x16b98b000     9.89s           2898            Gligoric.pgn
0x16ba17000     133.73s         36654           RetiKIA.pgn
0x16b98b000     33.49s          9559            ModernBenoni6e4.pgn
0x16b98b000     9.71s           2411            Caruana.pgn
0x16b98b000     2.85s           848             Serper.pgn
0x16b98b000     5.66s           1617            RuyMoeller-SteinDef.pgn
0x16b98b000     3.20s           769             Janowski.pgn
0x16b98b000     6.79s           1758            Eljanov.pgn
0x16ba17000     60.46s          16961           Nimzowitsch-Larsen.pgn
0x16ba17000     11.68s          3551            QGAOther3.pgn
0x16ba17000     2.38s           685             Evans.pgn
0x16ba17000     6.12s           1666            Andreikin.pgn
0x16ba17000     0.20s           64              Berliner.pgn
0x16b98b000     71.90s          19876           SicilianNajdorf6Be2.pgn
0x16ba17000     56.44s          15646           OldIndian.pgn
0x16ba17000     9.18s           2614            Miles.pgn
0x16ba17000     14.43s          3856            VanWely.pgn
0x16b98b000     37.50s          9706            RuyLopezChigorin.pgn
0x16b98b000     23.04s          6765            FrenchBurn.pgn
0x16b98b000     36.32s          10547           Caro-Kann2c4.pgn
0x16b98b000     2.49s           701             Xie.pgn
0x16b98b000     7.71s           2505            Ivkov.pgn
0x16b98b000     1.36s           385             Waitzkin.pgn
0x16ba17000     80.98s          22733           SicilianSveshnikov.pgn
0x16b98b000     6.83s           1658            Le.pgn
0x16b98b000     6.74s           2231            Spassky.pgn
0x16b98b000     0.93s           265             Zukertort.pgn
0x16b98b000     4.05s           1328            Kavalek.pgn
0x16b98b000     29.49s          8205            RuyLopezModSteinitz.pgn
0x16b98b000     2.16s           622             Wolff.pgn
0x16b98b000     4.52s           1124            Zhu.pgn
0x16b98b000     2.22s           655             Ye.pgn
0x16ba17000     57.61s          16822           Scand2Qxd5-3Qa5.pgn
0x16b98b000     3.99s           1186            Bisguier.pgn
0x16b98b000     14.46s          4244            SicilianTaimanovOther5.pgn
0x16b98b000     1.13s           370             Soltis.pgn
0x16ba17000     41.22s          12107           QGDOrthoMain.pgn
0x16ba17000     11.76s          3170            Beliavsky.pgn
0x16b98b000     55.52s          15562           Modern3Nf3.pgn
0x16ba17000     29.23s          8706            QGAOther4.pgn
0x16ba17000     32.59s          9366            PircClassical.pgn
0x16ba17000     7.27s           2268            Speelman.pgn
0x16ba17000     2.59s           756             Maroczy.pgn
0x16ba17000     4.42s           1280            IvanovA.pgn
0x16ba17000     12.40s          3485            Dreev.pgn
0x16b98b000     75.15s          22139           SicilianScheveningen.pgn
0x16b98b000     3.01s           916             Olafsson.pgn
0x16b98b000     6.97s           1897            Najer.pgn
0x16b98b000     1.53s           445             Rohde.pgn
0x16ba17000     26.40s          8020            QGAMain.pgn
0x16b98b000     10.25s          2915            Tiviakov.pgn
0x16ba17000     5.44s           1345            Muzychuk.pgn
0x16ba17000     23.41s          6606            PircOtherWhite3.pgn
0x16ba17000     3.42s           964             Stahlberg.pgn
0x16ba17000     4.69s           1564            Wojtkiewicz.pgn
0x16ba17000     19.62s          5768            SlavOther5.pgn
0x16b98b000     64.03s          17893           QGDExchange.pgn
0x16b98b000     6.28s           1668            Vitiugov.pgn
0x16b98b000     2.48s           739             Schlechter.pgn
0x16b98b000     21.21s          6051            DutchLeningrad.pgn
0x16ba17000     48.27s          13519           AlekhineModern.pgn
0x16b98b000     9.48s           2491            Morozevich.pgn
0x16b98b000     1.83s           491             Xu.pgn
0x16b98b000     8.75s           2627            Smyslov.pgn
0x16ba17000     12.66s          3590            Timman.pgn
0x16ba17000     5.86s           1893            Petrosian.pgn
0x16ba17000     12.11s          3209            Grischuk.pgn
0x16ba17000     1.14s           322             Paulsen.pgn
0x16b98b000     25.00s          7253            QGDTarrasch.pgn
0x16ba17000     6.54s           1900            Kholmov.pgn
0x16ba17000     6.80s           1776            Krush.pgn
0x16ba17000     35.46s          10129           EnglishSicRevBremen.pgn
0x16ba17000     11.05s          3269            Ponziani.pgn
0x16b98b000     65.36s          19102           SicilianDragonYugoslav.pgn
0x16ba17000     45.39s          12818           TrompowskyOther.pgn
0x16ba17000     7.27s           2146            Huebner.pgn
0x16ba17000     38.87s          11133           Torre2e6.pgn
0x16ba17000     1.35s           353             Bird.pgn
0x16b98b000     94.87s          27039           SicilianClosedOther3.pgn
0x16ba17000     23.75s          5962            RuyLopezBreyer.pgn
0x16ba17000     5.98s           1963            Psakhis.pgn
0x16b98b000     56.18s          16304           SicilianAlapinOther2.pgn
0x16b98b000     6.23s           1753            QIDOther.pgn
0x16ba17000     47.34s          13365           KIDOther56.pgn
0x16ba17000     33.37s          9779            FrWinawerOtherW4.pgn
0x16ba17000     15.96s          4993            CenterGame-Danish.pgn
0x16b98b000     81.48s          23919           FourKnights.pgn
0x16ba17000     31.62s          8840            NimzoClOther.pgn
0x16b98b000     3.86s           1045            Negi.pgn
0x16ba17000     7.31s           1895            Giri.pgn
0x16ba17000     8.01s           2413            Smirin.pgn
0x16ba17000     0.37s           106             McDonnell.pgn
0x16b98b000     30.69s          8705            NimzoRubOther.pgn
0x16ba17000     33.52s          9488            FrWinawerOtherB4.pgn
0x16ba17000     0.96s           284             Staunton.pgn
0x16b98b000     31.77s          8954            Trompowsky2Ne4.pgn
0x16ba17000     15.85s          4665            OwenDefense.pgn
0x16b98b000     7.10s           2110            Kasparov.pgn
0x16b98b000     4.57s           1209            RuyLopezKar-Smy-Khol.pgn
0x16b98b000     6.10s           1890            Polugaevsky.pgn
0x16ba17000     38.42s          11167           Colle.pgn
0x16ba17000     9.86s           2626            Leko.pgn
0x16ba17000     2.91s           766             Salov.pgn
0x16ba17000     64.14s          18170           FrTarrasch3c5.pgn
0x16ba17000     5.21s           1390            Milov.pgn
0x16b98b000     108.04s         30463           Sicilian2Nf3Other2.pgn
0x16ba17000     6.20s           1774            Rublevsky.pgn
0x16b98b000     10.50s          2890            Mamedyarov.pgn
0x16ba17000     10.25s          2860            Movsesian.pgn
0x16b98b000     20.30s          5850            Nimzo4f3.pgn
0x16b98b000     4.10s           1225            Kudrin.pgn
0x16b98b000     2.97s           834             PolgarS.pgn
0x16ba17000     29.03s          8412            English1f5.pgn
0x16ba17000     22.00s          6081            SicilianKan5c4.pgn
0x16ba17000     6.92s           2061            Zvjaginsev.pgn
0x16b98b000     36.73s          10132           London2g6.pgn
0x16ba17000     7.03s           2105            Nielsen.pgn
0x16ba17000     19.10s          5573            QGA3e4.pgn
0x16ba17000     5.38s           1715            Nunn.pgn
0x16b98b000     31.12s          9271            BudapestGambit.pgn
0x16b98b000     1.80s           536             Teichmann.pgn
0x16b98b000     6.41s           1601            Ushenina.pgn
0x16b98b000     7.05s           2008            Almasi.pgn
0x16b98b000     16.95s          4912            Dutch3Nc3.pgn
0x16b98b000     11.19s          2853            Karjakin.pgn
0x16ba17000     48.97s          13511           SlavOther34.pgn
0x16b98b000     3.29s           910             Goldin.pgn
0x16b98b000     4.61s           1307            SemiSlavOther5.pgn
0x16b98b000     3.73s           1122            Euwe.pgn
0x16b98b000     5.34s           1604            Najdorf.pgn
0x16b98b000     7.24s           2117            Taimanov.pgn
0x16ba17000     33.65s          9641            GrunfeldOther.pgn
0x16ba17000     19.55s          5873            Alekhine2Nc3-d5.pgn
0x16b98b000     43.11s          12411           Sicilian2Nc3-e6.pgn
0x16b98b000     16.23s          4431            SicilianTaimanov5Nb5.pgn
0x16ba17000     30.84s          9192            PircAustrian.pgn
0x16b98b000     23.54s          6712            NimzoCl4c5.pgn
0x16ba17000     57.92s          16737           GrunfeldExchange.pgn
0x16b98b000     64.84s          18005           EnglishSicRev2g3.pgn
0x16ba17000     30.47s          8615            KIDAverbakh.pgn
0x16ba17000     39.99s          11561           Sicilian2Nc3-d6.pgn
0x16ba17000     4.35s           1387            Fedorowicz.pgn
0x16b98b000     51.42s          14894           BishopsOpening.pgn
0x16ba17000     9.79s           2385            Kosteniuk.pgn
0x16ba17000     28.04s          7316            RuyLopezOther9.pgn
0x16ba17000     6.79s           1852            Korobov.pgn
0x16ba17000     8.22s           2156            Ponomariov.pgn
