vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16d66b000     84.06s          13519           AlekhineModern.pgn
0x16d66b000     2.33s           353             Bird.pgn
0x16d89b000     12.78s          2146            Huebner.pgn
0x16d80f000     110.61s         17893           QGDExchange.pgn
0x16d80f000     10.96s          1963            Psakhis.pgn
0x16d783000     63.36s          10129           EnglishSicRevBremen.pgn
0x16d66b000     43.28s          5962            RuyLopezBreyer.pgn
0x16d783000     10.87s          1753            QIDOther.pgn
0x16d4c7000     80.87s          12818           TrompowskyOther.pgn
0x16d6f7000     69.25s          11133           Torre2e6.pgn
0x16d553000     115.46s         19102           SicilianDragonYugoslav.pgn
0x16d553000     6.53s           1045            Negi.pgn
0x16d4c7000     27.81s          4993            CenterGame-Danish.pgn
0x16d553000     12.40s          1895            Giri.pgn
0x16d89b000     98.83s          16304           SicilianAlapinOther2.pgn
0x16d80f000     82.17s          13365           KIDOther56.pgn
0x16d783000     57.93s          9779            FrWinawerOtherW4.pgn
0x16d89b000     0.63s           106             McDonnell.pgn
0x16d783000     1.68s           284             Staunton.pgn
0x16d553000     13.79s          2413            Smirin.pgn
0x16d6f7000     53.68s          8840            NimzoClOther.pgn
0x16d553000     11.89s          2110            Kasparov.pgn
0x16d553000     7.70s           1209            RuyLopezKar-Smy-Khol.pgn
0x16d783000     26.54s          4665            OwenDefense.pgn
0x16d4c7000     52.20s          8705            NimzoRubOther.pgn
0x16d553000     10.50s          1890            Polugaevsky.pgn
0x16d5df000     164.52s         27039           SicilianClosedOther3.pgn
0x16d553000     5.00s           766             Salov.pgn
0x16d5df000     8.73s           1390            Milov.pgn
0x16d4c7000     16.93s          2626            Leko.pgn
0x16d89b000     53.60s          8954            Trompowsky2Ne4.pgn
0x16d80f000     57.01s          9488            FrWinawerOtherB4.pgn
0x16d5df000     10.60s          1774            Rublevsky.pgn
0x16d4c7000     17.77s          2890            Mamedyarov.pgn
0x16d89b000     17.50s          2860            Movsesian.pgn
0x16d4c7000     7.08s           1225            Kudrin.pgn
0x16d6f7000     64.37s          11167           Colle.pgn
0x16d66b000     138.44s         23919           FourKnights.pgn
0x16d89b000     5.13s           834             PolgarS.pgn
0x16d6f7000     11.71s          2061            Zvjaginsev.pgn
0x16d66b000     11.60s          2105            Nielsen.pgn
0x16d80f000     34.30s          5850            Nimzo4f3.pgn
0x16d80f000     9.21s           1715            Nunn.pgn
0x16d5df000     48.91s          8412            English1f5.pgn
0x16d5df000     3.01s           536             Teichmann.pgn
0x16d89b000     37.00s          6081            SicilianKan5c4.pgn
0x16d66b000     32.15s          5573            QGA3e4.pgn
0x16d5df000     11.18s          1601            Ushenina.pgn
0x16d89b000     11.83s          2008            Almasi.pgn
0x16d89b000     5.37s           910             Goldin.pgn
0x16d4c7000     62.26s          10132           London2g6.pgn
0x16d6f7000     52.93s          9271            BudapestGambit.pgn
0x16d5df000     18.68s          2853            Karjakin.pgn
0x16d4c7000     7.85s           1307            SemiSlavOther5.pgn
0x16d553000     109.30s         18170           FrTarrasch3c5.pgn
0x16d6f7000     6.20s           1122            Euwe.pgn
0x16d66b000     29.33s          4912            Dutch3Nc3.pgn
0x16d5df000     9.20s           1604            Najdorf.pgn
0x16d4c7000     12.56s          2117            Taimanov.pgn
0x16d5df000     27.06s          4431            SicilianTaimanov5Nb5.pgn
0x16d80f000     81.96s          13511           SlavOther34.pgn
0x16d553000     32.83s          5873            Alekhine2Nc3-d5.pgn
0x16d89b000     56.89s          9641            GrunfeldOther.pgn
0x16d4c7000     39.89s          6712            NimzoCl4c5.pgn
0x16d66b000     52.11s          9192            PircAustrian.pgn
0x16d783000     182.75s         30463           Sicilian2Nf3Other2.pgn
0x16d66b000     7.44s           1387            Fedorowicz.pgn
0x16d6f7000     72.61s          12411           Sicilian2Nc3-e6.pgn
0x16d66b000     16.44s          2385            Kosteniuk.pgn
0x16d553000     51.38s          8615            KIDAverbakh.pgn
0x16d66b000     11.57s          1852            Korobov.pgn
0x16d66b000     5.27s           885             Averbakh.pgn
0x16d553000     13.98s          2156            Ponomariov.pgn
0x16d553000     9.65s           1465            Koneru.pgn
0x16d66b000     19.07s          3111            Short.pgn
0x16d4c7000     67.38s          11561           Sicilian2Nc3-d6.pgn
0x16d66b000     3.68s           651             Boleslavsky.pgn
0x16d6f7000     47.39s          7316            RuyLopezOther9.pgn
0x16d66b000     3.69s           623             Mecking.pgn
0x16d553000     12.71s          1911            Malakhov.pgn
0x16d89b000     86.51s          14894           BishopsOpening.pgn
0x16d5df000     99.17s          16737           GrunfeldExchange.pgn
0x16d5df000     2.61s           388             Pillsbury.pgn
0x16d5df000     3.68s           590             Steinitz.pgn
0x16d80f000     109.15s         18005           EnglishSicRev2g3.pgn
0x16d89b000     16.25s          2689            BlackKnightTango.pgn
0x16d80f000     7.82s           1255            Wei.pgn
0x16d783000     91.52s          15288           Bogo4Bd2.pgn
0x16d89b000     11.62s          1917            GrandaZuniga.pgn
0x16d783000     9.16s           1457            Tomashevsky.pgn
0x16d5df000     30.93s          5379            ScotchOther4.pgn
0x16d6f7000     47.58s          7901            English1e6-2Nc3-d5.pgn
0x16d783000     3.75s           646             Reti.pgn
0x16d783000     7.40s           1186            Gaprindashvili.pgn
0x16d5df000     9.74s           1621            Browne.pgn
0x16d553000     63.77s          11049           SicilianNajdorf6Bc4.pgn
0x16d783000     18.42s          3059            Sokolov.pgn
0x16d5df000     19.72s          3179            Adams.pgn
0x16d6f7000     30.41s          5111            FrenchMacCutcheon.pgn
0x16d783000     5.17s           900             Lasker.pgn
0x16d783000     6.03s           953             Gashimov.pgn
0x16d6f7000     15.37s          2474            GurevichM.pgn
0x16d553000     28.60s          5105            SemiTarr5e3-Nc6.pgn
0x16d89b000     70.21s          11678           Scand3Qd6-Qd8.pgn
0x16d89b000     9.88s           1650            Kasimdzhanov.pgn
0x16d553000     22.63s          3914            QID4e3.pgn
0x16d66b000     119.83s         20477           SicilianAlapin2d5.pgn
0x16d5df000     45.58s          7638            Trompowsky2e6.pgn
0x16d6f7000     27.94s          4569            Korchnoi.pgn
0x16d4c7000     128.23s         21399           Reti2c4.pgn
0x16d5df000     8.31s           1513            Yermolinsky.pgn
0x16d66b000     15.28s          2383            Larsen.pgn
0x16d5df000     10.02s          1871            GoringGambit.pgn
0x16d5df000     0.63s           101             DeLaBourdonnais.pgn
0x16d80f000     111.84s         18673           SicilianKan5Bd3.pgn
0x16d66b000     6.32s           1217            Latvian-Elephant.pgn
0x16d80f000     8.04s           1345            Sutovsky.pgn
0x16d4c7000     28.00s          4604            Reti2b3.pgn
0x16d66b000     8.58s           1457            Ibragimov.pgn
0x16d66b000     6.99s           1335            Novikov.pgn
0x16d89b000     48.16s          8189            Caro-Kann4Nf6.pgn
0x16d80f000     11.84s          2032            Motylev.pgn
0x16d783000     83.91s          14699           FrenchRubinstein.pgn
0x16d89b000     7.29s           1376            Benko.pgn
0x16d66b000     10.83s          1519            McShane.pgn
0x16d783000     3.57s           681             Anderssen.pgn
0x16d553000     63.50s          11090           SicilianGrandPrix.pgn
0x16d89b000     10.00s          1604            Christiansen.pgn
0x16d80f000     18.60s          2851            Carlsen.pgn
0x16d783000     12.26s          1925            Jakovenko.pgn
0x16d80f000     4.91s           827             Fischer.pgn
0x16d89b000     9.73s           1777            Szabo.pgn
0x16d80f000     5.82s           899             Pilnik.pgn
