vas@vasm1pro:/Users/vas/repos/matemancpp$ time ./build/matemancpp
Thread ID       Duration        # of Games      File Name
0x16dd1f000     1.01s           241             Winawer.pgn
0x16dd1f000     6.64s           1796            Lautier.pgn
0x16dc93000     14.45s          3939            Shirov.pgn
0x16dd1f000     12.51s          3475            NimzoLeningrad.pgn
0x16dd1f000     6.39s           1874            Gulko.pgn
0x16dc07000     27.89s          7510            RuyLopezOpen.pgn
0x16dc07000     2.49s           690             Bruzon.pgn
0x16dd1f000     6.86s           1580            Yu.pgn
0x16dc07000     4.90s           1290            Tartakower.pgn
0x16dc07000     2.77s           704             Tarrasch.pgn
0x16dc07000     0.42s           113             Horwitz.pgn
0x16dc07000     9.11s           2630            Alekhine4Pawns.pgn
0x16dd1f000     25.70s          6793            AlekhineExchange.pgn
0x16db7b000     59.72s          16992           PetroffOther3.pgn
0x16dc07000     18.05s          4705            CzechBenoni.pgn
0x16db7b000     10.01s          2386            Kamsky.pgn
0x16dc07000     10.81s          2959            RuyLopezMarshall.pgn
0x16db7b000     18.78s          5256            QG-Chigorin.pgn
0x16db7b000     11.32s          3001            Kramnik.pgn
0x16db7b000     4.96s           1324            Azmaiparashvili.pgn
0x16dc07000     31.71s          8776            EnglishSym3d4.pgn
0x16dd1f000     50.01s          13344           EnglishSicRev4Knights.pgn
0x16dd1f000     1.99s           512             Nimzowitsch.pgn
0x16db7b000     33.53s          8830            Bogo4Nbd2.pgn
0x16dc93000     134.48s         35184           KIDOther7.pgn
0x16dd1f000     48.27s          12799           FrTarraschOther3.pgn
0x16dd1f000     6.84s           2000            Nisipeanu.pgn
0x16dd1f000     9.14s           2189            Harikrishna.pgn
0x16dc93000     32.14s          8593            Sic2Nc6-4Qc7-4Qb6.pgn
0x16dd1f000     10.47s          3132            Hort.pgn
0x16db7b000     82.36s          21706           SicilianNajdorf6Be3.pgn
0x16dc93000     51.36s          13810           English1e6Main.pgn
0x16dc93000     7.51s           2198            Geller.pgn
0x16dc07000     137.17s         36250           SicilianTaimanovMain.pgn
0x16dc93000     8.08s           2013            Wojtaszek.pgn
0x16dc07000     10.32s          2582            Navara.pgn
0x16dc07000     5.97s           1543            Ni.pgn
0x16dd1f000     76.51s          20411           SicilianAlapin2Nf6.pgn
0x16dc93000     13.88s          3179            Nakamura.pgn
0x16dc93000     3.04s           797             Rubinstein.pgn
0x16db7b000     55.77s          15364           PircOtherWhite4.pgn
0x16db7b000     6.28s           1697            DeFirmian.pgn
0x16dd1f000     55.33s          14874           SlavMain.pgn
0x16dc07000     63.21s          16975           English1Nf6-2Nc3.pgn
0x16dd1f000     10.57s          2898            Gligoric.pgn
0x16dc07000     34.89s          9559            ModernBenoni6e4.pgn
0x16dc07000     10.23s          2411            Caruana.pgn
0x16dc07000     3.01s           848             Serper.pgn
0x16dc07000     5.96s           1617            RuyMoeller-SteinDef.pgn
0x16dc07000     3.36s           769             Janowski.pgn
0x16dc07000     7.14s           1758            Eljanov.pgn
0x16dd1f000     63.49s          16961           Nimzowitsch-Larsen.pgn
0x16db7b000     120.90s         32439           QGDOther34.pgn
0x16dc93000     140.67s         36654           RetiKIA.pgn
0x16dd1f000     12.61s          3551            QGAOther3.pgn
0x16dc93000     0.21s           64              Berliner.pgn
0x16db7b000     2.59s           685             Evans.pgn
0x16dd1f000     6.54s           1666            Andreikin.pgn
0x16dd1f000     9.67s           2614            Miles.pgn
0x16dd1f000     15.20s          3856            VanWely.pgn
0x16db7b000     39.45s          9706            RuyLopezChigorin.pgn
0x16dc07000     75.61s          19876           SicilianNajdorf6Be2.pgn
0x16dc93000     58.91s          15646           OldIndian.pgn
0x16dc93000     2.62s           701             Xie.pgn
0x16db7b000     24.46s          6765            FrenchBurn.pgn
0x16db7b000     1.44s           385             Waitzkin.pgn
0x16dc93000     8.17s           2505            Ivkov.pgn
0x16db7b000     7.13s           1658            Le.pgn
0x16db7b000     7.13s           2231            Spassky.pgn
0x16db7b000     0.98s           265             Zukertort.pgn
0x16db7b000     4.26s           1328            Kavalek.pgn
0x16dc07000     38.35s          10547           Caro-Kann2c4.pgn
0x16dc07000     2.29s           622             Wolff.pgn
0x16dc07000     4.77s           1124            Zhu.pgn
0x16dc07000     2.35s           655             Ye.pgn
0x16dc07000     4.11s           1186            Bisguier.pgn
0x16dd1f000     85.48s          22733           SicilianSveshnikov.pgn
